source,target,value
Burundi,Kenya,1188
Dem. Rep. of the Congo,Kenya,2306
Eritrea,Kenya,612
Rwanda,Kenya,2361
Somalia,Kenya,150459
Sudan,Kenya,76646
Afghanistan,Kyrgyzstan,251
Palestinian,Kuwait,910
Iraq,Kuwait,422
Somalia,Kuwait,107
Iraq,Lebanon,797
Sudan,Lebanon,119
Dem. Rep. of the Congo,Mali,109
Liberia,Mali,423
Myanmar,Malaysia,14208
Burundi,Mozambique,442
Dem. Rep. of the Congo,Mozambique,1079
Rwanda,Mozambique,413
Dem. Rep. of the Congo,Nigeria,703
Liberia,Nigeria,6051
Sudan,Nigeria,173
Afghanistan,Pakistan,1084208
Somalia,Pakistan,255
Burundi,Rwanda,3743
Dem. Rep. of the Congo,Rwanda,41403
Eritrea,Saudi Arabia,253
Iraq,Saudi Arabia,363
Liberia,Senegal,281
Rwanda,Senegal,304
Liberia,Sierra Leone,59952
Burundi,Eswatini,174
Dem. Rep. of the Congo,Eswatini,120
Afghanistan,Switzerland,1595
Angola,Switzerland,2221
Burundi,Switzerland,166
Dem. Rep. of the Congo,Switzerland,1313
Eritrea,Switzerland,268
Iraq,Switzerland,4065
Sri Lanka,Switzerland,2617
Rwanda,Switzerland,243
Somalia,Switzerland,3706
Viet Nam,Switzerland,2072
Sudan,Switzerland,160
Syrian Arab Rep.,Switzerland,294
Afghanistan,Syrian Arab Rep.,229
Iraq,Syrian Arab Rep.,24874
Somalia,Syrian Arab Rep.,593
Sudan,Syrian Arab Rep.,177
Burundi,United Rep. of Tanzania,195383
Dem. Rep. of the Congo,United Rep. of Tanzania,150112
Somalia,United Rep. of Tanzania,2663
Myanmar,Thailand,116499
Afghanistan,Tajikistan,1006
Afghanistan,Turkmenistan,749
Dem. Rep. of the Congo,Togo,120
Rwanda,Togo,809
Iraq,Turkey,126
Burundi,Uganda,1660
Dem. Rep. of the Congo,Uganda,20564
Rwanda,Uganda,20213
Somalia,Uganda,1811
Sudan,Uganda,212857
Afghanistan,Ukraine,1213
Azerbaijan,Ukraine,195
Afghanistan,Uzbekistan,1805
Eritrea,Yemen,122
Palestinian,Yemen,440
Iraq,Yemen,1046
Somalia,Yemen,78582
Angola,Zambia,26468
Burundi,Zambia,1689
Dem. Rep. of the Congo,Zambia,46243
Rwanda,Zambia,4769
Somalia,Zambia,993
