source,target,value
Dem. Rep. of the Congo,Central African Rep.,6498
Rwanda,Central African Rep.,251
Sudan,Central African Rep.,36479
Central African Rep.,Chad,33000
Sudan,Chad,110000
Viet Nam,China,299287
Nigeria,Cameroon,16983
Angola,Congo,2429
Central African Rep.,Congo,338
Dem. Rep. of the Congo,Congo,81004
Rwanda,Congo,5921
Angola,Dem. Rep. of the Congo,45214
Burundi,Dem. Rep. of the Congo,1052
Central African Rep.,Dem. Rep. of the Congo,207
Congo,Dem. Rep. of the Congo,1215
Rwanda,Dem. Rep. of the Congo,1724
Sudan,Dem. Rep. of the Congo,10862
Uganda,Dem. Rep. of the Congo,2044
Western Sahara,Cuba,721
Iran (Islamic Rep. of),Cyprus,185
Somalia,Eritrea,3261
Sudan,Eritrea,624
Eritrea,Ethiopia,6754
Somalia,Ethiopia,28276
Sudan,Ethiopia,90826
Afghanistan,France,1167
Albania,France,835
Algeria,France,726
Angola,France,1836
Armenia,France,571
Azerbaijan,France,460
Burundi,France,223
Bangladesh,France,837
Belarus,France,152
Bosnia and Herzegovina,France,1623
Cambodia,France,14303
Central African Rep.,France,309
Chad,France,518
China,France,372
Cameroon,France,226
Congo,France,1572
Dem. Rep. of the Congo,France,6757
Colombia,France,262
Ethiopia,France,299
Georgia,France,648
Ghana,France,684
Guinea-Bissau,France,831
Guinea,France,408
Haiti,France,1661
Cote d'Ivoire,France,317
India,France,174
Iran (Islamic Rep. of),France,1659
Iraq,France,1409
Kazakhstan,France,132
Lao People's Dem. Rep.,France,7948
Liberia,France,154
Sri Lanka,France,15062
Mauritania,France,2763
Rep. of Moldova,France,139
Mali,France,108
Nigeria,France,195
Pakistan,France,169
Peru,France,270
Poland,France,198
Romania,France,199
Russian Federation,France,2613
Rwanda,France,1410
Serbia and Kosovo: S/RES/1244 (1999),France,5642
Senegal,France,101
Sierra Leone,France,229
Somalia,France,543
Viet Nam,France,9274
Sudan,France,336
Syrian Arab Rep.,France,191
Togo,France,244
Tunisia,France,318
Turkey,France,8862
Ukraine,France,519
Stateless,France,708
Angola,Gabon,132
Chad,Gabon,1312
Congo,Gabon,12122
Rwanda,Gabon,104
Liberia,Gambia,770
Senegal,Gambia,548
Sierra Leone,Gambia,6127
Russian Federation,Georgia,3848
Liberia,Ghana,42466
Sierra Leone,Ghana,943
Togo,Ghana,534
Senegal,Guinea-Bissau,7317
Sierra Leone,Guinea-Bissau,208
Nicaragua,Guatemala,481
El Salvador,Guatemala,176
Cote d'Ivoire,Guinea,9552
Liberia,Guinea,137455
Sierra Leone,Guinea,14499
Bosnia and Herzegovina,Croatia,3930
Serbia and Kosovo: S/RES/1244 (1999),Croatia,455
Burundi,Cote d'Ivoire,101
Congo,Cote d'Ivoire,583
Dem. Rep. of the Congo,Cote d'Ivoire,181
Liberia,Cote d'Ivoire,74180
Rwanda,Cote d'Ivoire,304
Sierra Leone,Cote d'Ivoire,334
Afghanistan,India,10283
Myanmar,India,940
Iraq,Indonesia,122
Afghanistan,Iran (Islamic Rep. of),829261
Iraq,Iran (Islamic Rep. of),7882
Palestinian,Iraq,22706
Iran (Islamic Rep. of),Iraq,10237
Syrian Arab Rep.,Iraq,643
Turkey,Iraq,13135
Iraq,Jordan,965
Myanmar,Japan,136
Viet Nam,Japan,1691
Afghanistan,Kazakhstan,657
Russian Federation,Kazakhstan,13684
Burundi,Kenya,404
Dem. Rep. of the Congo,Kenya,1153
Eritrea,Kenya,379
Ethiopia,Kenya,11139
Rwanda,Kenya,2520
Somalia,Kenya,154272
Sudan,Kenya,63197
Uganda,Kenya,4438
Tajikistan,Kyrgyzstan,4929
Palestinian,Kuwait,910
Iraq,Kuwait,417
Somalia,Kuwait,107
Sierra Leone,Liberia,13941
Somalia,Libya,178
Iraq,Lebanon,1476
Somalia,Lebanon,134
Sudan,Lebanon,615
Sierra Leone,Mauritania,341
Guatemala,Mexico,3799
El Salvador,Mexico,1687
Cote d'Ivoire,Mali,1504
Liberia,Mali,397
Mauritania,Mali,6148
Sierra Leone,Mali,1411
Indonesia,Malaysia,3198
Myanmar,Malaysia,4152
Angola,Namibia,11814
Bhutan,Nepal,103650
Chad,Niger,151
El Salvador,Nicaragua,283
Chad,Nigeria,193
Dem. Rep. of the Congo,Nigeria,105
Liberia,Nigeria,3674
Sierra Leone,Nigeria,1756
Sudan,Nigeria,102
Afghanistan,Pakistan,1123647
Iran (Islamic Rep. of),Pakistan,112
Iraq,Pakistan,123
Somalia,Pakistan,309
Colombia,Panama,860
Nicaragua,Panama,165
El Salvador,Panama,271
Cuba,Peru,465
Serbia and Kosovo: S/RES/1244 (1999),Peru,122
Indonesia,Papua New Guinea,7491
Russian Federation,Poland,205
Angola,South Africa,1144
Burundi,South Africa,888
Congo,South Africa,216
Dem. Rep. of the Congo,South Africa,3544
Rwanda,South Africa,1100
Somalia,South Africa,454
Sudan,South Africa,151
Burundi,Rwanda,1841
Dem. Rep. of the Congo,Rwanda,34725
Nicaragua,El Salvador,230
Afghanistan,Saudi Arabia,107
Iraq,Saudi Arabia,706
