,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 - 4,Female 5 - 11,Female 12 - 17,Female 18 - 59,Female 60,Female other,Female total,Male 0 - 4,Male 5 - 11,Male 12 - 17,Male 18 - 59,Male 60,Male other,Male total
10413,2004,Iraq,IRQ,New Zealand,NZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11224,2004,Guatemala,GTM,Venezuela (Bolivarian Republic of),VEN,0,0,0,0,0,0,0,5,0,0,0,0,0,5
10585,2004,Nigeria,NGA,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10350,2004,Kyrgyzstan,KGZ,Norway,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8735,2004,Iran (Islamic Rep. of),IRN,Brazil,BRA,0,0,0,9,0,0,9,0,0,0,14,0,0,14
9901,2004,Palestinian,PSE,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9971,2004,Dem. Rep. of the Congo,COD,Kenya,KEN,105,287,247,303,5,0,947,125,418,357,510,10,0,1420
10467,2004,Cuba,CUB,Peru,PER,0,24,21,154,10,0,209,5,21,19,205,20,0,270
8869,2004,Jamaica,JAM,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10917,2004,Serbia and Kosovo: S/RES/1244 (1999),SRB,Switzerland,CHE,334,792,679,2026,177,1399,5407,394,853,731,1858,101,1612,5549
10226,2004,Libya,LBY,Netherlands,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9756,2004,Guinea,GIN,Cote d'Ivoire,CIV,0,0,0,0,0,0,0,0,0,0,7,0,0,7
9781,2004,Dem. Rep. of the Congo,COD,Indonesia,IDN,0,5,0,0,0,0,5,0,0,0,0,0,0,0
10066,2004,Guatemala,GTM,Mexico,MEX,0,31,27,835,62,0,955,0,45,38,1282,54,0,1419
10711,2004,Cambodia,KHM,Viet Nam,VNM,0,0,0,0,0,1228,1228,0,0,0,0,0,1132,1132
10703,2004,Syrian Arab Rep.,SYR,Spain,ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9734,2004,Yemen,YEM,Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10465,2004,Bulgaria,BGR,Peru,PER,0,0,0,5,0,0,5,0,0,0,0,0,0,0
8693,2004,Azerbaijan,AZE,Belarus,BLR,0,5,0,10,0,0,15,0,5,0,7,0,0,12
9390,2004,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9885,2004,Benin,BEN,Italy,ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11016,2004,Serbia and Kosovo: S/RES/1244 (1999),SRB,Turkey,TUR,5,8,6,73,10,0,102,8,17,14,66,6,0,111
