year,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,country_origin,country_origin(ISO),region,continent,location,total_deaths,total_affected,geo_locations
2002,Natural,Hydrological,Flood,Riverine flood,Chile,CHL,South America,Americas,"Libertador Gral. Bernardo O'higgins, Maule, Biobio, Los Lagos, Los Rios, Aisen del Gral. Carlos Ibanez del Campo, Magallanes y Antartica chilena, Araucania provinces",3.0,800.0,"Aisen del Gral. Carlos Ibanez del Campo, Araucania, Biobio, Libertador Gral. Bernardo O'Higgins, Los Lagos, Los Rios, Magallanes y Antartica chilena, Maule (Adm1)."
2002,Natural,Meteorological,Storm,Convective storm,China,CHN,Eastern Asia,Asia,"Zhengzhou district (Henan Sheng province), Guangdong Sheng province",25.0,200.0,Guangdong Sheng (Adm1). Zhengzhou (Adm2).
2002,Natural,Meteorological,Storm,Convective storm,China,CHN,Eastern Asia,Asia,"Leizhou Shi, Lianjiang Shi, Zhanjiang Shi, Suixi Xian areas (Zhanjiang district, Guangdong province)",27.0,220110.0,Zhanjiang (Adm2).
2003,Natural,Hydrological,Flood,Flash flood,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz city (Murillo district, La Paz province)",4.0,6025.0,Murillo (Adm2).
2003,Natural,Hydrological,Flood,Riverine flood,Brazil,BRA,South America,Americas,"Rio de Janeiro, Sao Paulo, Minas Gerais, Santa Catarina, Espirito Santo provinces",54.0,10511.0,"Espirito Santo, Minas Gerais, Rio De Janeiro, Santa Catarina, Sao Paulo (Adm1)."
2003,Natural,Hydrological,Flood,Riverine flood,Afghanistan,AFG,Southern Asia,Asia,"Balkh, Kunduz provinces",11.0,2000.0,"Balkh, Kunduz (Adm1)."
2003,Natural,Hydrological,Flood,Riverine flood,Angola,AGO,Middle Africa,Africa,"Luanda, Luanda Norte, Malanje provinces",9.0,600.0,"Luanda, Lunda Norte, Malanje (Adm1)."
2003,Natural,Hydrological,Flood,Riverine flood,Argentina,ARG,South America,Americas,"Belgrano (Comuna 13 district, Buenos Aires D.f. province), Palermo (Comuna 14 district, Buenos Aires D.f. province), Villa Crespo (Comuna 15 district, Buenos Aires D.f. province), Escobar, General San Martin, Lomas de Zamora, Pilar, Tres de Febrero, La Matanza districts (Buenos Aires province), La Rioja province",4.0,3000.0,"La Rioja (Adm1). Avellaneda, Comuna 13, Comuna 14, Comuna 15, Escobar, General San Martin, La Matanza, Lomas de Zamora, Pilar, Tres de Febrero (Adm2)."
2003,Natural,Hydrological,Flood,Riverine flood,Australia,AUS,Australia and New Zealand,Oceania,"Stanwell, Gracemere, Mount Morgan villages (Rockhampton district, Queensland province), Wowan, Baralaba, Moura villages (Banana district, Queensland province), Agnes Water, Makowata villages (Gladstone district, Queensland province), Blackall Tambo district (Queensland province)",1.0,20.0,"Banana (S), Blackall Tambo (R), Gladstone (R), Rockhampton (R) (Adm2)."
2003,Natural,Climatological,Wildfire,Forest fire,Australia,AUS,Australia and New Zealand,Oceania,"Canberra region (Unincorporated ACT district, Australian Capital Territory province)",4.0,2650.0,Unincorporated ACT (Adm2).
2003,Natural,Hydrological,Flood,Riverine flood,Bolivia (Plurinational State of),BOL,South America,Americas,"Cochabamba, Santa Cruz provinces",1.0,6500.0,"Cochabamba, Santa Cruz (Adm1)."
2003,Natural,Hydrological,Landslide,Landslide,Bolivia (Plurinational State of),BOL,South America,Americas,"Chima town (Larecaja province, La Paz department)",69.0,1001.0,Larecaja (Adm2).
2001,Natural,Hydrological,Flood,Flash flood,China,CHN,Eastern Asia,Asia,"Jinyang area (Liangshan Yi district, Sichuan Sheng province), Deyang, Mianyang districts (Sichuan Sheng province)",27.0,250000.0,"Deyang, Liangshan Yi, Mianyang (Adm2)."
2001,Natural,Hydrological,Flood,Flash flood,Cameroon,CMR,Middle Africa,Africa,"Limbé area (Fako district, Sud - Ouest province)",30.0,1500.0,Fako (Adm2).
